timestamp,ps_traffic_volume_gb
02/04/2025,2013.4349
03/04/2025,1957.0354
04/04/2025,2008.3863000000001
05/04/2025,2107.6331
06/04/2025,2133.6569
07/04/2025,1980.5558
08/04/2025,2028.8444
09/04/2025,1919.3126
10/04/2025,1899.3003999999999
11/04/2025,1898.0502000000001
12/04/2025,1945.6518
13/04/2025,1817.1802
14/04/2025,1779.9392
15/04/2025,1896.9254
16/04/2025,1907.0237
17/04/2025,1762.8968
18/04/2025,1945.559
19/04/2025,1880.4249
20/04/2025,1833.8861
21/04/2025,1835.5397
22/04/2025,1827.6154
23/04/2025,1868.4483
24/04/2025,1842.0018
25/04/2025,1873.721
26/04/2025,2073.6039
27/04/2025,1940.5476
28/04/2025,1859.5527
29/04/2025,1841.1839
30/04/2025,1750.896
01/05/2025,1819.0592
02/05/2025,1744.8409
03/05/2025,1818.8944
04/05/2025,1863.4966
05/05/2025,1841.7496
06/05/2025,1909.3272
07/05/2025,1884.213
08/05/2025,1969.6037999999999
09/05/2025,1903.0597
10/05/2025,1936.4334000000001
11/05/2025,1933.5514
12/05/2025,1889.9807
13/05/2025,2081.3606
14/05/2025,2290.9558
15/05/2025,2064.3321
16/05/2025,2005.6066
17/05/2025,2004.831
18/05/2025,2079.4783
19/05/2025,1922.3414
20/05/2025,1853.4287
21/05/2025,1859.3944
22/05/2025,1888.3316
23/05/2025,1911.6355
24/05/2025,1971.8658
25/05/2025,1929.2931
26/05/2025,1832.181
27/05/2025,1911.8982
28/05/2025,1913.4773
29/05/2025,1894.456
30/05/2025,1856.8938
31/05/2025,1875.5371
01/06/2025,1869.3395
02/06/2025,1799.9845
03/06/2025,1727.2116
04/06/2025,1758.8011000000001
05/06/2025,1458.6775
06/06/2025,1196.0167
07/06/2025,1378.9515999999999
08/06/2025,1561.8331
09/06/2025,1737.2783
10/06/2025,1672.0678
11/06/2025,1754.3893
12/06/2025,1972.6064
13/06/2025,1743.9558
14/06/2025,1801.7283
15/06/2025,1771.8
16/06/2025,1791.0064
17/06/2025,1831.9238
18/06/2025,1777.3103
19/06/2025,1823.9757
20/06/2025,1794.6764
21/06/2025,1864.7793
22/06/2025,1883.9834
23/06/2025,1765.6508999999999
24/06/2025,1892.7772
