eNodeB,Feature,Min,Max,Mean,Std. Deviation,Variance,Skewness,Kurtosis,Sum,Median,Missing,Row count
TRI055L,cell_ul_bler_rate_%,0.05623333333333333,0.0678,0.06222487113402062,0.0018879954903492718,3.5645269715791868e-06,0.17380085946376408,0.5188823924651902,24.143250000000002,0.062150000000000004,0,388
TRI055L,cell_dl_bler_rate_%,0.07406666666666667,0.08806666666666667,0.08210038659793815,0.0025777091108476965,6.644584260147223e-06,0.20834040365358106,-0.6374284705316171,31.854950000000002,0.08168333333333333,0,388
TRI055L,dl_avg_mcs,9.446666666666667,10.626666666666667,9.916413230240549,0.21746619242749585,0.04729154484891265,-0.06755240355463825,-0.5034975231662542,3847.568333333333,9.949166666666667,0,388
TRI055L,ul_avg_mcs,12.01,16.173333333333332,14.758350515463917,1.145577140598337,1.312346985061462,-0.9677480970560494,-0.6339306179179429,5726.24,15.226666666666667,0,388
TRI055L,avg_cqi,8.828466666666666,9.93625,9.456482001718213,0.2243611488350998,0.050337925106605806,-0.18396410915510725,-0.8495695605934213,3669.1150166666666,9.496475,0,388
TRI055L,avg_ta_km,0.25666666666666665,0.29,0.27492268041237117,0.006580605660705644,4.330437086171116e-05,-0.6590459532156903,-0.135230485927468,106.67000000000002,0.27666666666666667,0,388
TRI055L,avg_rssi_dbm,-96.67853333333333,-81.75566666666667,-84.01589278350517,0.97256720349119,0.9458869653066737,-5.553009220729804,73.12820459196419,-32598.166400000002,-84.06708333333333,0,388
TRI055L,outgoing_ho_success_rate_%,0.9729166666666668,0.9985666666666667,0.9974300687285222,0.0016042483062331748,2.5736126280520102e-06,-10.048458065365521,143.5646344837545,387.00286666666665,0.9978583333333333,0,388
TRI055L,intra_rat_ho_success_rate_%,0.9928833333333333,0.9990833333333332,0.997347379725086,0.0010030657176392365,1.0061408339031167e-06,-1.4830147073884774,2.4735610237745553,386.9707833333334,0.9975833333333334,0,388
TRI055L,no_ping_pong_ho_count,0.0,28415.0,5235.0025773195875,9090.929101026471,82644991.91988997,1.2536523175032044,-0.2723103705315477,2031181.0,0.0,0,388
TRI1007L,ps_traffic_volume_gb,668.3604,1318.7793,1000.4771925449872,116.46031297899242,13563.00449916487,0.06449934990511204,-0.8637594024098014,389185.6279,1002.6563,0,389
TRI1007L,ul_prb_util_%,0.15593333333333334,0.29955,0.196740059982862,0.019447217341791858,0.00037819426233888997,0.5382193687481589,2.5792490696240895,76.53188333333333,0.19918333333333335,0,389
TRI1007L,dl_prb_available_bandwidth,85.0,100.0,97.02227934875751,5.331433892077162,28.42418734558904,-1.2452077168873261,-0.4437608397015431,37741.66666666667,100.0,0,389
TRI1007L,mean_no_rrc_users,261.5642,506.82890000000003,327.7589532133676,39.102886396004536,1529.0357244988363,0.8471216262845103,1.0477413764759147,127498.2328,324.0177,0,389
TRI1007L,max_active_no_users_uplane,281.0,614.0,366.1156812339332,40.52146543107285,1641.9891606816316,1.8416977928444047,7.68176833952676,142419.0,364.0,0,389
TRI1007L,rrc_success_rate_%,0.9758333333333334,0.9997000000000001,0.9988641816623822,0.0012674371843090137,1.6063970161691607e-06,-15.699795107714502,282.84663367270605,388.5581666666667,0.9989833333333333,0,389
TRI1007L,erab_setup_success_rate_%,0.99405,0.99965,0.998616323907455,0.0005739387309321142,3.2940566686396576e-07,-1.967597193255482,11.75062565529137,388.46175,0.9986666666666667,0,389
TRI1007L,erab_drop_rate_%,0.0008666666666666666,0.006066666666666667,0.0020263924592973438,0.0007511763086813943,5.642658467242055e-07,1.2156306715961556,2.4370007343094775,0.7882666666666667,0.0018666666666666666,0,389
TRI1007L,rrc_drop_rate_%,0.0009000000000000001,0.008849999999999998,0.0025561696658097685,0.00116089351366203,1.347673750062574e-06,1.5870515012764441,4.41770359337697,0.99435,0.0022666666666666664,0,389
TRI1007L,cell_ul_bler_rate_%,0.054933333333333334,0.08356666666666666,0.06385094258783205,0.0046864332505757505,2.196265661210199e-05,1.8390872649669552,4.977523362912866,24.838016666666668,0.0631,0,389
